Temperature;PM2.5;PM10
20.6;4.3;42.6
20.6;4.3;43.3
20.6;4.3;45.2
20.6;4.4;47.5
20.6;4.4;51.4
20.6;4.4;53.2
20.6;4.4;53.5
20.6;4.4;53.9
20.7;4.4;51.8
20.7;4.4;51.6
20.7;4.4;51.5
20.7;4.5;54.3
20.7;4.6;53.4
20.7;4.5;51.8
20.7;4.4;51.8
20.7;4.3;52.1
20.7;4.4;53.2
20.7;4.5;56.1
20.7;4.5;54.4
20.7;4.6;56.6
20.7;4.6;56.1
20.7;4.5;57.2
20.7;4.6;57.6
20.6;4.6;58
20.6;4.5;57.7
20.5;4.4;56.5
20.4;4.2;52.4
20.5;4.1;48.7
20.5;4;46.2
20.5;3.9;44.9
20.5;4;46.7
20.5;4.1;46
20.5;4.2;46.7
20.4;4.5;52.5
20.5;4.7;49.9
20.4;4.7;48.2
20.4;4.7;49.3
20.4;4.8;52.7
20.4;4.8;52.1
20.4;4.8;51.3
20.4;4.8;55.3
20.4;4.7;53.1
20.3;4.6;52.5
20.2;4.6;51.4
20.1;4.6;52.8
20.1;4.6;52
20.1;4.6;50.7
20.1;4.7;52.3
20.1;4.8;54.9
20;5;56.1
20.1;11.5;65.3
19.8;11.8;68.4
19.7;11.8;68
19.8;11.7;66.5
19.7;11.8;66.6
19.6;11.9;66.6
19.6;11.9;66.4
19.4;12.5;66.9
19.5;12.5;66
19.5;12.5;66.5
19.3;12.4;65.1
19.3;12.4;65.1
19.2;12.5;65.1
19.1;12.4;63.7
19.1;12;55.6
18.9;11.8;53.5
18.9;11.9;53.5
18.8;11.8;52.8
18.9;11.8;48.7
18.6;11.8;48.8
18.5;11.9;48.8
18.5;11.8;44.7
18.5;11.8;44.2
18.3;11.9;44.2
18.2;11.9;42.7
18.2;12;41.4
18.1;12.3;41.7
17.9;12.5;44.2
17.9;12.2;38.4
17.8;12;35.6
17.9;11.8;31.5
17.9;5.2;21.9
17.8;4.9;17.4
17.8;4.8;16.7
17.7;4.8;16.2
17.6;4.6;16.2
17.5;4.9;16.3
17.5;4.9;16.3
17.4;4.3;15.6
17.3;4.3;15.6
17.4;4.2;15.2
17.4;4.2;14.7
17.4;4.1;15.1
17.3;4.1;14.1
17.2;4;13.6
17.1;4.1;13
17.1;4.2;13.4
17.1;4.2;12.7
17.2;4.1;13
17.1;10.9;31.7
16.8;10.8;31.8
16.8;10.9;31.8
16.7;12.2;33
16.7;12.1;32.9
16.7;12;33.8
16.7;12.1;34.8
16.5;16.8;54.8
16.4;16.7;54.4
16.2;16.8;56.1
16.2;16.9;56.6
16.2;16.9;56.5
16.2;16.9;56.5
16.1;16.9;56.6
16.1;16.9;56.5
15.9;22.6;73
15.8;22.6;72.8
15.8;22.3;72.8
15.7;22.4;73.1
15.7;22.9;73.6
15.6;23;73.6
15.5;23.1;74.2
15.4;23;74.2
15.4;23;73.7
15.2;23;73.3
15.3;23;73.3
15.3;22.9;73.2
15.2;22.7;72.7
15.2;22.7;72.6
15.1;22.7;72.3
15.1;15.9;53.3
15;15.9;53.3
15;15.9;53.2
15;15.2;52.1
14.8;15.2;52.4
14.8;15.2;53.4
14.9;15.2;51.9
14.7;10.1;31.5
14.6;10;29.9
14.6;9.8;29.3
14.5;9.8;28.5
14.4;9.9;28.5
14.3;13;33.8
14.4;12.9;34
14.2;12.9;35.3
14.1;7.3;18.8
14.1;7.3;18.9
13.9;13.6;37.4
14;13.7;37.3
13.8;13.1;37
13.8;13;37.8
13.9;14.5;38.8
13.8;17.6;47
13.7;17.5;47
13.7;17.5;47
13.7;17.6;47.1
13.6;17.5;47.2
13.5;17.6;47.3
13.4;17.8;47.4
13.4;17.8;47.4
13.4;17.8;47.3
13.5;18.8;47.9
13.4;18.8;47.9
13.4;18.6;47.9
13.4;18.5;47.5
13.3;18.4;45.6
13.3;18.3;45.4
13.4;18.3;45.4
13.4;18.2;44.7
13.3;18.2;43.4
13.3;18.1;43
13.3;18.6;43.1
13.2;15.4;37.6
13.2;15.4;37.3
13.2;15.3;35.9
13.2;15.3;35.8
13.3;15.2;35.8
13.2;8.8;17
13.1;9.2;17
13.1;9.1;16.7
13.1;9.1;15.8
13.1;7.5;14.2
13.1;4.4;5.8
13.1;4.4;5.7
13.2;4.4;5.7
13.2;4.2;5.4
13.1;4.2;5.1
13.3;4.8;5.5
13.2;4.5;5.4
13.1;4.5;5.4
13.1;4.5;5.5
13.2;4.4;5.4
13.2;3.3;4.6
13.2;3.3;4.6
13.2;2.8;4.2
13.1;2.8;4.2
13.1;2.8;4.1
13.1;2.8;4.2
13.1;3.6;4.9
13.1;3.6;4.9
13.1;3.5;4.8
13.1;3.9;5.1
13.1;3.3;4.8
13;3.4;4.8
13;3.4;4.8
13;3.4;4.8
12.9;3.7;4.9
13;3.7;4.9
13;3.7;4.9
12.9;3.6;5.1
12.9;3.5;5.1
12.9;3.5;5.1
12.9;3.7;5.2
12.9;3.7;5.1
12.9;3.7;5.2
12.9;3.7;5.2
13;3.7;5.3
12.9;3.7;5.2
12.9;3;4.7
12.8;3;4.6
12.8;3.4;4.8
12.9;3.4;4.7
12.8;3.3;5.3
12.8;3.3;5.3
12.9;3.4;5.3
12.9;3.3;5.4
12.9;3.3;5.4
13;3.3;5.6
12.9;2.9;5.3
12.8;3;5.3
12.9;3;5.4
12.8;2.7;5.2
12.8;2.7;5.2
12.8;2.6;5.2
12.8;2.6;5.1
12.7;2.9;5.2
12.7;2.7;5.1
12.6;2.6;5
12.8;3.5;5.5
12.7;3.1;5
12.6;3.1;5
12.6;3.1;5.1
12.5;3;5
12.6;3;5
12.5;3;4.9
12.5;3;5
12.5;3.3;5.3
12.5;3.4;5.4
12.5;3.3;5.3
12.5;3.4;5.4
12.5;3;5.2
